% SubNumber, Age, Gender 	    57    20     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   57         1      1     1    1  1439
   57         1      2     5    1   408
   57         1      3     3    1  1747
   57         1      4     3    1   414
   57         1      5     6    1   351
   57         1      6     7    1   475
   57         1      7     6    1   383
   57         1      8     3    1   521
   57         1      9     2    1   357
   57         1     10     1    1   316
   57         1     11     4    0   295
   57         1     12     7    1   712
   57         1     13     1    1   454
   57         1     14     6    1   383
   57         1     15     8    1   413
   57         1     16     8    1   398
   57         1     17     4    1   491
   57         1     18     3    1   455
   57         1     19     7    1   465
   57         1     20     5    1   487
   57         1     21     6    1   398
   57         1     22     4    1   588
   57         1     23     2    1   588
   57         1     24     2    1   368
   57         1     25     7    1   372
   57         1     26     2    1   310
   57         1     27     5    1   408
   57         1     28     4    0   316
   57         1     29     5    1   800
   57         1     30     8    1   434
   57         1     31     8    1   619
   57         1     32     1    1   496
   57         2      1     8    1   512
   57         2      2     5    1   455
   57         2      3     7    1   408
   57         2      4     4    1   444
   57         2      5     3    1   461
   57         2      6     5    1   388
   57         2      7     3    1   461
   57         2      8     6    1   413
   57         2      9     6    1   357
   57         2     10     1    1   414
   57         2     11     8    1   475
   57         2     12     1    1   336
   57         2     13     4    1   485
   57         2     14     2    1   460
   57         2     15     7    1   470
   57         2     16     7    1   455
   57         2     17     2    1   336
   57         2     18     7    1   388
   57         2     19     5    1   413
   57         2     20     4    1   393
   57         2     21     2    1   383
   57         2     22     2    1   310
   57         2     23     5    1   431
   57         2     24     2    1   310
   57         2     25     2    1   367
   57         2     26     8    1   435
   57         2     27     5    1   419
   57         2     28     8    1   398
   57         2     29     6    1   496
   57         2     30     7    1   480
   57         2     31     8    1   393
   57         2     32     1    1   307
   57         2     33     1    1   362
   57         2     34     3    1   454
   57         2     35     6    1   397
   57         2     36     1    1   425
   57         2     37     8    1   372
   57         2     38     2    1   496
   57         2     39     6    1   445
   57         2     40     6    1   434
   57         2     41     3    1   450
   57         2     42     2    1   378
   57         2     43     5    1   423
   57         2     44     1    1   321
   57         2     45     4    0   279
   57         2     46     7    1   414
   57         2     47     4    1   383
   57         2     48     3    1   413
   57         2     49     3    1   429
   57         2     50     7    1   522
   57         2     51     7    1   445
   57         2     52     3    1   439
   57         2     53     3    1   490
   57         2     54     1    1   501
   57         2     55     4    1   547
   57         2     56     8    1   449
   57         2     57     1    1   794
   57         2     58     4    1   511
   57         2     59     6    1   718
   57         2     60     8    1   459
   57         2     61     4    1   604
   57         2     62     5    1   460
   57         2     63     6    1   413
   57         2     64     5    1   362
   57         3      1     7    1   506
   57         3      2     7    1   372
   57         3      3     7    1   284
   57         3      4     3    1   295
   57         3      5     4    1   341
   57         3      6     3    1   367
   57         3      7     5    1   388
   57         3      8     4    1   490
   57         3      9     8    1   361
   57         3     10     8    1   315
   57         3     11     1    1   404
   57         3     12     4    1   434
   57         3     13     8    1   455
   57         3     14     3    1   465
   57         3     15     5    1  1017
   57         3     16     5    1   377
   57         3     17     8    1   455
   57         3     18     6    1   543
   57         3     19     7    1   434
   57         3     20     4    1   449
   57         3     21     4    1   517
   57         3     22     8    1   424
   57         3     23     2    1   341
   57         3     24     1    1   295
   57         3     25     6    1   408
   57         3     26     6    1   362
   57         3     27     3    1   449
   57         3     28     4    1   398
   57         3     29     2    1   336
   57         3     30     6    1   480
   57         3     31     4    0   362
   57         3     32     6    1   604
   57         3     33     1    1   573
   57         3     34     2    1   393
   57         3     35     2    1   351
   57         3     36     8    1  1114
   57         3     37     1    1   419
   57         3     38     8    1   475
   57         3     39     8    1   289
   57         3     40     1    1   290
   57         3     41     7    1   331
   57         3     42     5    1   456
   57         3     43     4    1   408
   57         3     44     7    1   387
   57         3     45     5    1   372
   57         3     46     2    1   295
   57         3     47     5    1   393
   57         3     48     3    1   444
   57         3     49     1    1   397
   57         3     50     7    1   568
   57         3     51     6    1   532
   57         3     52     2    1   321
   57         3     53     5    1   552
   57         3     54     3    1   486
   57         3     55     6    1   461
   57         3     56     1    1   346
   57         3     57     3    1   593
   57         3     58     7    1   455
   57         3     59     3    1   583
   57         3     60     2    1   599
   57         3     61     1    1   377
   57         3     62     6    1   496
   57         3     63     2    1   733
   57         3     64     5    1   666
   57         4      1     2    1   696
   57         4      2     7    1   553
   57         4      3     1    1   367
   57         4      4     3    1   594
   57         4      5     6    1   486
   57         4      6     4    1   429
   57         4      7     8    1   387
   57         4      8     8    1   363
   57         4      9     4    1   382
   57         4     10     7    1   392
   57         4     11     4    1   501
   57         4     12     5    0   316
   57         4     13     3    1   496
   57         4     14     5    1   419
   57         4     15     1    1   377
   57         4     16     6    1   604
   57         4     17     2    1   311
   57         4     18     6    1   351
   57         4     19     5    1   357
   57         4     20     1    1   327
   57         4     21     7    1   511
   57         4     22     7    1   341
   57         4     23     5    1   387
   57         4     24     8    1   383
   57         4     25     8    1   392
   57         4     26     3    1   429
   57         4     27     5    1   372
   57         4     28     1    1   352
   57         4     29     1    1   367
   57         4     30     1    1   403
   57         4     31     6    1   439
   57         4     32     7    1   655
   57         4     33     5    1   445
   57         4     34     4    1   486
   57         4     35     8    1   408
   57         4     36     6    1   593
   57         4     37     6    1   439
   57         4     38     2    1   423
   57         4     39     2    1   394
   57         4     40     3    1   547
   57         4     41     7    1   490
   57         4     42     2    1   455
   57         4     43     7    1   403
   57         4     44     8    1   331
   57         4     45     3    1   449
   57         4     46     3    1   459
   57         4     47     1    1   306
   57         4     48     2    1   480
   57         4     49     4    1   424
   57         4     50     8    1   516
   57         4     51     6    1   511
   57         4     52     2    1   506
   57         4     53     8    1   445
   57         4     54     4    0   378
   57         4     55     4    1   459
   57         4     56     2    1   486
   57         4     57     7    1   595
   57         4     58     1    1   270
