% SubNumber, Age, Gender 	    76    19     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   76         8      1     1    1  1071
   76         8      2     8    1   574
   76         8      3     3    1   552
   76         8      4     7    0  1998
   76         8      5     4    1   666
   76         8      6     5    1  1128
   76         8      7     7    1   393
   76         8      8     4    1   603
   76         8      9     5    1  1308
   76         8     10     3    1   501
   76         8     11     6    1   469
   76         8     12     8    1   516
   76         8     13     6    1   536
   76         8     14     7    0  1376
   76         8     15     5    1   692
   76         8     16     7    1   536
   76         8     17     1    1   610
   76         8     18     2    1   569
   76         8     19     1    1   414
   76         8     20     8    1   481
   76         8     21     8    1   382
   76         8     22     1    1   342
   76         8     23     6    1   471
   76         8     24     5    1   439
   76         8     25     3    1   429
   76         8     26     2    1   459
   76         8     27     4    1   531
   76         8     28     2    1   553
   76         8     29     2    1   429
   76         8     30     3    1   434
   76         8     31     6    0   434
   76         8     32     4    1   630
   76         9      1     8    1   902
   76         9      2     1    0  1998
   76         9      3     3    1   531
   76         9      4     3    1   413
   76         9      5     7    1   377
   76         9      6     6    1   455
   76         9      7     5    1   485
   76         9      8     5    1   444
   76         9      9     4    0   464
   76         9     10     8    1   593
   76         9     11     3    1   501
   76         9     12     4    1   439
   76         9     13     8    1   604
   76         9     14     7    1   819
   76         9     15     4    1   470
   76         9     16     1    1  1159
   76         9     17     7    1   397
   76         9     18     3    1   445
   76         9     19     6    1   594
   76         9     20     4    1   722
   76         9     21     2    1   465
   76         9     22     4    1   460
   76         9     23     1    0   480
   76         9     24     5    1  1185
   76         9     25     1    1   589
   76         9     26     6    1   439
   76         9     27     2    1   408
   76         9     28     1    1   398
   76         9     29     1    1   398
   76         9     30     8    1   625
   76         9     31     5    1   413
   76         9     32     3    1   454
   76         9     33     7    1   393
   76         9     34     3    1   408
   76         9     35     5    1   599
   76         9     36     6    1   434
   76         9     37     7    1   419
   76         9     38     3    1   506
   76         9     39     4    0   521
   76         9     40     8    1   562
   76         9     41     8    1   372
   76         9     42     6    1   578
   76         9     43     8    1   511
   76         9     44     6    1   723
   76         9     45     6    1   449
   76         9     46     3    1   464
   76         9     47     2    1   629
   76         9     48     5    1   718
   76         9     49     2    1   480
   76         9     50     5    1   501
   76         9     51     1    1   491
   76         9     52     6    1   670
   76         9     53     7    1   537
   76         9     54     5    1   614
   76         9     55     2    1   526
   76         9     56     7    1   989
   76         9     57     7    1   338
   76         9     58     4    1   510
   76         9     59     4    1   388
   76         9     60     1    1   583
   76         9     61     2    1   413
   76         9     62     8    1   516
   76         9     63     2    1   316
   76         9     64     2    1   402
   76        10      1     8    1   552
   76        10      2     3    1   511
   76        10      3     1    1   717
   76        10      4     2    1   578
   76        10      5     6    1   444
   76        10      6     5    1   397
   76        10      7     2    1   320
   76        10      8     7    1   485
   76        10      9     6    1   439
   76        10     10     6    1   305
   76        10     11     3    1   445
   76        10     12     8    1   399
   76        10     13     2    1   434
   76        10     14     5    1   389
   76        10     15     7    1   655
   76        10     16     2    1   567
   76        10     17     1    1   362
   76        10     18     5    0   382
   76        10     19     8    1   541
   76        10     20     2    1   537
   76        10     21     7    0   444
   76        10     22     3    0   454
   76        10     23     3    1   495
   76        10     24     1    1   403
   76        10     25     4    1   475
   76        10     26     2    1   507
   76        10     27     1    1   464
   76        10     28     8    1   403
   76        10     29     6    1   671
   76        10     30     2    1   474
   76        10     31     8    1   501
   76        10     32     5    1   681
   76        10     33     7    1   480
   76        10     34     6    1   723
   76        10     35     1    1   464
   76        10     36     3    1   480
   76        10     37     7    1   667
   76        10     38     7    1   377
   76        10     39     1    1   366
   76        10     40     1    1   382
   76        10     41     6    1   393
   76        10     42     6    1   357
   76        10     43     6    1   521
   76        10     44     7    1   547
   76        10     45     5    1   589
   76        10     46     8    1   568
   76        10     47     7    1   830
   76        10     48     5    1   454
   76        10     49     3    1   506
   76        10     50     4    1   526
   76        10     51     1    1   645
   76        10     52     5    1   543
   76        10     53     4    1   542
   76        10     54     4    1   506
   76        10     55     4    1   393
   76        10     56     4    1   490
   76        10     57     3    1   377
   76        10     58     2    1   547
   76        10     59     3    1   531
   76        10     60     5    1   486
   76        10     61     4    1   439
   76        10     62     8    1   454
   76        10     63     8    1   490
   76        10     64     4    1   465
   76        11      1     7    1  1016
   76        11      2     4    1   608
   76        11      3     2    1   666
   76        11      4     1    1   851
   76        11      5     3    1   532
   76        11      6     6    1   496
   76        11      7     4    1   418
   76        11      8     6    1   363
   76        11      9     4    1   362
   76        11     10     1    1   454
   76        11     11     8    1   542
   76        11     12     8    1   356
   76        11     13     7    1   383
   76        11     14     8    1   439
   76        11     15     6    0   341
   76        11     16     6    1   594
   76        11     17     7    1   604
   76        11     18     7    1   428
   76        11     19     2    1   465
   76        11     20     5    1   480
   76        11     21     5    1   433
   76        11     22     8    1   392
   76        11     23     1    1   429
   76        11     24     5    1   639
   76        11     25     7    0   382
   76        11     26     5    1   563
   76        11     27     8    1   490
   76        11     28     4    1   614
   76        11     29     1    1   593
   76        11     30     3    1   557
   76        11     31     8    1   475
   76        11     32     8    1   352
   76        11     33     6    0   367
   76        11     34     7    1   593
   76        11     35     2    1   528
   76        11     36     8    1   573
   76        11     37     1    1   512
   76        11     38     4    1   434
   76        11     39     2    1   480
   76        11     40     3    1   430
   76        11     41     2    0   506
   76        11     42     6    0   506
   76        11     43     2    1   496
   76        11     44     1    1   614
   76        11     45     1    1   351
   76        11     46     7    1   537
   76        11     47     3    1   893
   76        11     48     3    1   362
   76        11     49     2    1   382
   76        11     50     6    0   475
   76        11     51     6    1   398
   76        11     52     3    1   511
   76        11     53     5    1   378
   76        11     54     4    1   393
   76        11     55     1    1   429
   76        11     56     3    1   542
   76        11     57     5    1   434
   76        11     58     5    1   434
   76        11     59     4    0   382
   76        11     60     7    1   505
   76        11     61     5    1   434
   76        11     62     4    1   419
   76        11     63     2    1   557
   76        11     64     3    1   521
   76        12      1     4    1   543
   76        12      2     8    1   486
   76        12      3     5    1   521
   76        12      4     3    1   418
   76        12      5     4    1   434
   76        12      6     4    1   388
   76        12      7     8    1   439
   76        12      8     1    1   408
   76        12      9     5    1   454
   76        12     10     2    1   573
   76        12     11     7    1   490
   76        12     12     8    1   536
   76        12     13     6    1   563
   76        12     14     7    1   644
   76        12     15     4    1   536
   76        12     16     2    1   496
   76        12     17     5    1   449
   76        12     18     5    1   346
   76        12     19     2    1   475
   76        12     20     3    0   388
   76        12     21     1    1   510
   76        12     22     2    1   337
   76        12     23     1    1   315
   76        12     24     7    1   516
   76        12     25     6    1   552
   76        12     26     7    1   531
   76        12     27     4    1   491
   76        12     28     2    1   459
   76        12     29     1    1   712
   76        12     30     4    1   521
   76        12     31     2    1   501
   76        12     32     5    1   516
   76        12     33     6    1   506
   76        12     34     5    1   387
   76        12     35     3    0   341
   76        12     36     4    1   444
   76        12     37     7    1   516
   76        12     38     1    1   357
   76        12     39     7    1   294
   76        12     40     8    1   440
   76        12     41     6    0   383
   76        12     42     1    1   851
   76        12     43     5    1   507
   76        12     44     2    1   429
   76        12     45     3    1   581
   76        12     46     6    1   429
   76        12     47     8    1   536
   76        12     48     1    1   661
   76        12     49     3    1   553
   76        12     50     3    1   542
   76        12     51     6    1   336
   76        12     52     7    1   516
   76        12     53     8    1   460
   76        12     54     3    1   419
   76        12     55     4    1   413
   76        12     56     8    1   578
   76        12     57     2    1   702
   76        12     58     7    0   419
   76        12     59     6    1   713
   76        12     60     3    0   799
   76        12     61     6    0   753
   76        12     62     1    1   429
   76        12     63     5    1   526
   76        12     64     8    1   500
   76        13      1     2    1   568
   76        13      2     2    1   352
   76        13      3     7    1   419
   76        13      4     1    1   357
   76        13      5     4    1   487
   76        13      6     4    1   392
   76        13      7     6    1   377
   76        13      8     5    1   537
   76        13      9     8    1   387
   76        13     10     1    1   368
   76        13     11     1    1   346
   76        13     12     5    1   367
   76        13     13     6    1   533
   76        13     14     7    0   521
   76        13     15     3    0   475
   76        13     16     4    1   511
   76        13     17     4    1   336
   76        13     18     8    1   414
   76        13     19     6    1   424
   76        13     20     1    1   563
   76        13     21     3    1   424
   76        13     22     8    1   419
   76        13     23     7    1   372
   76        13     24     7    1   366
   76        13     25     8    1   433
   76        13     26     5    1   393
   76        13     27     1    1   414
   76        13     28     5    0   522
   76        13     29     8    1   450
   76        13     30     8    1   367
   76        13     31     3    1   676
   76        13     32     3    1   404
   76        13     33     6    1   361
   76        13     34     7    1   609
   76        13     35     6    1   459
   76        13     36     3    0   413
   76        13     37     7    1   619
   76        13     38     5    1   625
   76        13     39     1    1   326
   76        13     40     4    1   516
   76        13     41     4    1   419
   76        13     42     2    1   408
   76        13     43     1    1   598
   76        13     44     4    1   413
   76        13     45     4    1   444
   76        13     46     2    1   470
   76        13     47     2    1   490
   76        13     48     7    1   578
   76        13     49     2    1   485
   76        13     50     8    1   485
   76        13     51     1    1   408
   76        13     52     5    1   506
   76        13     53     7    1   413
   76        13     54     5    1   747
   76        13     55     3    1   568
   76        13     56     2    1   567
   76        13     57     5    1   429
   76        13     58     6    1   521
   76        13     59     3    1   500
   76        13     60     3    1   372
   76        13     61     6    1   578
   76        13     62     8    1   434
   76        13     63     6    1   614
   76        13     64     2    1   599
   76        14      1     2    1   599
   76        14      2     4    1   516
   76        14      3     5    0   454
   76        14      4     8    1   657
   76        14      5     3    1   552
   76        14      6     2    1   537
   76        14      7     4    0   367
   76        14      8     7    1   681
   76        14      9     5    1   608
   76        14     10     8    1   578
   76        14     11     4    1   824
   76        14     12     3    1   459
   76        14     13     2    1   537
   76        14     14     6    1   495
   76        14     15     6    1   439
   76        14     16     3    1   449
   76        14     17     7    1   578
   76        14     18     8    1   429
   76        14     19     6    1   629
   76        14     20     5    1   506
   76        14     21     7    1   639
   76        14     22     7    1   495
   76        14     23     7    1   423
   76        14     24     8    1   578
   76        14     25     2    1   475
   76        14     26     6    1   475
   76        14     27     6    1   367
   76        14     28     2    1   562
   76        14     29     4    1   511
   76        14     30     4    1   506
   76        14     31     8    1   490
   76        14     32     8    1   472
   76        14     33     4    1   403
   76        14     34     3    1   491
   76        14     35     8    1   428
   76        14     36     7    1   743
   76        14     37     4    1   465
   76        14     38     5    1   644
   76        14     39     7    1   558
   76        14     40     1    1   521
   76        14     41     1    1   367
   76        14     42     6    1   362
   76        14     43     2    1   413
   76        14     44     1    1   337
   76        14     45     6    1   357
   76        14     46     3    1   361
   76        14     47     6    1   424
   76        14     48     1    1   372
   76        14     49     5    1   480
   76        14     50     3    1   421
   76        14     51     8    1   409
   76        14     52     5    1   517
   76        14     53     3    1   418
   76        14     54     1    1   440
   76        14     55     4    1   620
   76        14     56     7    1   454
   76        14     57     2    1   645
   76        14     58     2    1   517
   76        14     59     5    1   372
   76        14     60     1    1   475
   76        14     61     1    1   336
   76        14     62     1    1   321
   76        14     63     3    1   723
   76        14     64     5    1   449
   76         1      1     1    1   523
   76         1      2     8    1   424
   76         1      3     3    1   496
   76         1      4     7    1   423
   76         1      5     4    1   423
   76         1      6     1    1   361
   76         1      7     1    1   321
   76         1      8     2    1   372
   76         1      9     4    1   459
   76         1     10     3    1   450
   76         1     11     1    1   379
   76         1     12     7    1   398
   76         1     13     6    1   316
   76         1     14     3    0   342
   76         1     15     4    1   429
   76         1     16     2    1   799
   76         1     17     2    1   336
   76         1     18     7    1   400
   76         1     19     8    1   409
   76         1     20     6    1   491
   76         1     21     5    1   475
   76         1     22     5    1   341
   76         1     23     8    1   434
   76         1     24     8    1   387
   76         1     25     4    1   388
   76         1     26     2    1   361
   76         1     27     6    1   372
   76         1     28     7    1   521
   76         1     29     5    1   382
   76         1     30     6    1   321
   76         1     31     5    1   336
   76         1     32     3    0   335
   76         2      1     8    1   598
   76         2      2     2    1   341
   76         2      3     1    1   310
   76         2      4     1    1   321
   76         2      5     4    1   392
   76         2      6     8    1   377
   76         2      7     7    1   409
   76         2      8     6    0   491
   76         2      9     5    1   800
   76         2     10     4    1   388
   76         2     11     7    1   393
   76         2     12     1    1   397
   76         2     13     6    1   357
   76         2     14     1    1   480
   76         2     15     4    1   444
   76         2     16     2    1   362
   76         2     17     7    1   578
   76         2     18     2    1   388
   76         2     19     4    1   773
   76         2     20     7    1   362
   76         2     21     4    1   583
   76         2     22     6    1   573
   76         2     23     8    1   413
   76         2     24     6    1   393
   76         2     25     1    1  1558
   76         2     26     8    1   460
   76         2     27     7    1   547
   76         2     28     3    1   450
   76         2     29     1    1   415
   76         2     30     6    1   434
   76         2     31     3    0   634
   76         2     32     3    1   903
   76         2     33     4    1   428
   76         2     34     4    1   404
   76         2     35     6    1   454
   76         2     36     2    1   392
   76         2     37     5    1   429
   76         2     38     1    1   624
   76         2     39     3    0   680
   76         2     40     8    1  1010
   76         2     41     8    1   378
   76         2     42     2    1   305
   76         2     43     7    1   454
   76         2     44     5    1   326
   76         2     45     5    1   558
   76         2     46     8    1   367
   76         2     47     4    1   362
   76         2     48     2    1   449
   76         2     49     5    1   347
   76         2     50     3    0   279
   76         2     51     8    1   645
   76         2     52     7    1   377
   76         2     53     3    1   378
   76         2     54     7    1   641
   76         2     55     2    1   392
   76         2     56     3    1   362
   76         2     57     5    1   367
   76         2     58     6    1   398
   76         2     59     6    1   398
   76         2     60     2    1   531
   76         2     61     1    1   336
   76         2     62     3    1   428
   76         2     63     5    1   517
   76         2     64     5    1   517
   76         3      1     6    1   856
   76         3      2     5    1   358
   76         3      3     3    1   490
   76         3      4     8    1   347
   76         3      5     7    1   480
   76         3      6     8    1   455
   76         3      7     1    1   495
   76         3      8     4    1   449
   76         3      9     2    1   475
   76         3     10     5    1   423
   76         3     11     7    1   449
   76         3     12     5    1   501
   76         3     13     6    1   392
   76         3     14     2    1   455
   76         3     15     3    1   501
   76         3     16     3    1   388
   76         3     17     7    1   311
   76         3     18     4    1   445
   76         3     19     2    1   495
   76         3     20     5    1   733
   76         3     21     3    1   444
   76         3     22     8    1   908
   76         3     23     2    1   485
   76         3     24     4    1   490
   76         3     25     3    0   881
   76         3     26     6    1   409
   76         3     27     6    1   316
   76         3     28     8    1   403
   76         3     29     3    1   404
   76         3     30     5    1   383
   76         3     31     2    1   449
   76         3     32     1    1   573
   76         3     33     7    1   434
   76         3     34     6    1   352
   76         3     35     5    1   372
   76         3     36     2    1   322
   76         3     37     2    1   290
   76         3     38     3    1   382
   76         3     39     1    1   275
   76         3     40     2    1   243
   76         3     41     4    1   433
   76         3     42     6    1   316
   76         3     43     7    1   362
   76         3     44     8    1   398
   76         3     45     1    1   784
   76         3     46     5    1   341
   76         3     47     1    1   507
   76         3     48     7    1   505
   76         3     49     4    1   475
   76         3     50     3    1   455
   76         3     51     1    1   449
   76         3     52     8    1  1339
   76         3     53     4    1   501
   76         3     54     8    1   547
   76         3     55     1    1   362
   76         3     56     5    1   789
   76         3     57     6    1   408
   76         3     58     8    1   460
   76         3     59     1    1   784
   76         3     60     7    0   722
   76         3     61     6    1   480
   76         3     62     4    1   464
   76         3     63     7    1   536
   76         3     64     4    1   357
   76         4      1     1    1   320
   76         4      2     5    1   409
   76         4      3     3    1   393
   76         4      4     2    1   351
   76         4      5     8    1   495
   76         4      6     1    1   321
   76         4      7     1    1   269
   76         4      8     8    0   326
   76         4      9     5    1   363
   76         4     10     5    1   593
   76         4     11     2    1   444
   76         4     12     3    1   481
   76         4     13     8    1   428
   76         4     14     3    0  1998
   76         4     15     4    1   491
   76         4     16     6    1   433
   76         4     17     1    1   398
   76         4     18     7    1   480
   76         4     19     3    1   438
   76         4     20     8    1   346
   76         4     21     4    0   439
   76         4     22     6    1   789
   76         4     23     4    1   985
   76         4     24     2    1   413
   76         4     25     8    1   655
   76         4     26     3    1   753
   76         4     27     5    1   583
   76         4     28     5    1   403
   76         4     29     1    1   413
   76         4     30     3    1   485
   76         4     31     8    1  1031
   76         4     32     1    1   439
   76         4     33     4    1   578
   76         4     34     4    1   506
   76         4     35     6    1  1700
   76         4     36     4    0  1999
   76         4     37     1    0   851
   76         4     38     6    1   439
   76         4     39     2    1   408
   76         4     40     2    1   444
   76         4     41     7    1   469
   76         4     42     7    1   380
   76         4     43     4    1   465
   76         4     44     6    1   398
   76         4     45     5    1   625
   76         4     46     5    1   372
   76         4     47     6    1   296
   76         4     48     4    1   449
   76         4     49     2    1  1185
   76         4     50     2    1   356
   76         4     51     7    1   367
   76         4     52     7    1   357
   76         4     53     7    1   346
   76         4     54     3    1   244
   76         4     55     6    0   397
   76         4     56     7    1   604
   76         4     57     3    1   444
   76         4     58     8    1   711
   76         4     59     2    1   557
   76         4     60     7    1   650
   76         4     61     6    1  1217
   76         4     62     1    1   434
   76         4     63     8    1   550
   76         4     64     5    1   331
   76         5      1     2    1   331
   76         5      2     2    1   322
   76         5      3     5    1   639
   76         5      4     6    1   440
   76         5      5     8    1  1114
   76         5      6     7    0  1998
   76         5      7     4    0  1998
   76         5      8     3    1   527
   76         5      9     6    1  1598
   76         5     10     1    1   528
   76         5     11     7    1   393
   76         5     12     5    1   706
   76         5     13     4    1   568
   76         5     14     5    1   573
   76         5     15     2    0   562
   76         5     16     3    1   640
   76         5     17     3    1   382
   76         5     18     4    1   403
   76         5     19     4    1   846
   76         5     20     5    1  1401
   76         5     21     5    1   356
   76         5     22     8    0   465
   76         5     23     1    1   338
   76         5     24     2    1   285
   76         5     25     2    1   346
   76         5     26     2    1   455
   76         5     27     1    1   449
