% SubNumber, Age, Gender 	    49    19     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   49         1      1     5    1   624
   49         1      2     8    1   513
   49         1      3     2    1   409
   49         1      4     7    1   485
   49         1      5     7    1   403
   49         1      6     2    1   326
   49         1      7     6    1   501
   49         1      8     3    1   521
   49         1      9     7    1   465
   49         1     10     3    0   351
   49         1     11     5    1   470
   49         1     12     1    1   403
   49         1     13     6    1   306
   49         1     14     5    1   351
   49         1     15     7    0   338
   49         1     16     5    1   503
   49         1     17     4    1   641
   49         1     18     3    1   513
   49         1     19     4    1   656
   49         1     20     8    1   394
   49         1     21     4    1   467
   49         1     22     1    1   362
   49         1     23     1    1   337
   49         1     24     4    1   459
   49         1     25     1    1   470
   49         1     26     6    1   357
   49         1     27     6    1   317
   49         1     28     8    1   440
   49         1     29     2    1   506
   49         1     30     2    1   352
   49         1     31     8    0   326
   49         1     32     3    1   454
   49         2      1     5    1   482
   49         2      2     7    1   392
   49         2      3     1    1   306
   49         2      4     8    1   418
   49         2      5     1    1   316
   49         2      6     2    1   346
   49         2      7     3    0   337
   49         2      8     3    1   470
   49         2      9     6    1   332
   49         2     10     2    1   320
   49         2     11     4    1   415
   49         2     12     8    1   439
   49         2     13     8    1   387
   49         2     14     1    1   326
   49         2     15     7    1   388
   49         2     16     1    1   433
   49         2     17     7    1   438
   49         2     18     3    1   459
   49         2     19     4    1   531
   49         2     20     2    1   382
   49         2     21     1    1   373
   49         2     22     8    1   449
   49         2     23     8    1   383
   49         2     24     3    1   547
   49         2     25     6    1   578
   49         2     26     5    1   455
   49         2     27     8    1   423
   49         2     28     7    1   393
   49         2     29     7    1   377
   49         2     30     6    1   413
   49         2     31     4    1   505
   49         2     32     4    1   440
   49         2     33     5    1   368
   49         2     34     7    1   429
   49         2     35     4    1   424
   49         2     36     5    0   313
   49         2     37     7    1   552
   49         2     38     6    1   444
   49         2     39     4    1   439
   49         2     40     3    1   383
   49         2     41     2    1   490
   49         2     42     5    1   331
   49         2     43     5    1   377
   49         2     44     2    1   490
   49         2     45     5    1   424
   49         2     46     3    1   522
   49         2     47     6    1   349
   49         2     48     7    1   460
   49         2     49     6    1   429
   49         2     50     2    1   439
   49         2     51     1    1   377
   49         2     52     6    1   358
   49         2     53     4    1   475
   49         2     54     5    1   326
   49         2     55     1    1   337
   49         2     56     6    1   311
   49         2     57     2    1   470
   49         2     58     1    1   387
   49         2     59     2    1   347
   49         2     60     8    0   352
   49         2     61     3    1   563
   49         2     62     4    1   511
   49         2     63     3    1   388
   49         2     64     8    1   372
   49         3      1     1    1   790
   49         3      2     6    1   480
   49         3      3     8    1   449
   49         3      4     7    1   424
   49         3      5     2    1   341
   49         3      6     8    1   423
   49         3      7     4    0   346
   49         3      8     3    1   480
   49         3      9     7    1   415
   49         3     10     3    1   506
   49         3     11     7    1   377
   49         3     12     8    1   397
   49         3     13     6    1   429
   49         3     14     3    1   531
   49         3     15     1    1   383
   49         3     16     8    1   428
   49         3     17     4    1   450
   49         3     18     7    0   341
   49         3     19     7    1   481
   49         3     20     3    0   506
   49         3     21     6    1   336
   49         3     22     4    1   465
   49         3     23     2    1   408
   49         3     24     1    1   481
   49         3     25     8    1   455
   49         3     26     1    1   362
   49         3     27     7    1   429
   49         3     28     6    1   326
   49         3     29     5    1  1279
   49         3     30     2    1   341
   49         3     31     5    1   332
   49         3     32     6    1   310
   49         3     33     4    0   326
   49         3     34     5    1   544
   49         3     35     1    1   393
   49         3     36     6    1   399
   49         3     37     5    1   327
   49         3     38     1    1   455
   49         3     39     2    1   377
   49         3     40     8    1   507
   49         3     41     6    1   424
   49         3     42     2    1   331
   49         3     43     3    1   457
   49         3     44     2    1   362
   49         3     45     4    1   486
   49         3     46     4    1   431
   49         3     47     7    1   465
   49         3     48     6    1   342
   49         3     49     2    1   342
   49         3     50     3    0   331
   49         3     51     5    1   352
   49         3     52     7    1   486
   49         3     53     8    1   445
   49         3     54     5    1   367
   49         3     55     8    1   450
   49         3     56     1    1   336
   49         3     57     5    1   470
   49         3     58     4    0   336
   49         3     59     5    1   429
   49         3     60     3    1   495
   49         3     61     4    1   583
   49         3     62     2    1   465
   49         3     63     1    1   362
   49         3     64     3    1   373
   49         4      1     1    1   467
   49         4      2     2    1   372
   49         4      3     3    0   301
   49         4      4     7    1   557
   49         4      5     3    1   404
   49         4      6     3    1   459
   49         4      7     1    1   342
   49         4      8     8    1   506
   49         4      9     2    1   321
   49         4     10     8    1   512
   49         4     11     1    1   470
   49         4     12     3    1   542
   49         4     13     1    1   364
   49         4     14     6    1   353
   49         4     15     6    1   388
   49         4     16     1    1   382
   49         4     17     3    0   419
   49         4     18     1    1   501
   49         4     19     5    1   331
   49         4     20     4    1   573
   49         4     21     7    1   552
   49         4     22     7    1   419
   49         4     23     3    1   440
   49         4     24     5    1   431
   49         4     25     5    1   393
   49         4     26     3    1   558
   49         4     27     2    1   440
   49         4     28     6    1   373
   49         4     29     4    1   454
   49         4     30     8    1   449
   49         4     31     7    1   357
   49         4     32     8    1   372
   49         4     33     2    1   336
   49         4     34     2    1   342
   49         4     35     4    0   346
   49         4     36     8    1   722
   49         4     37     5    1   408
   49         4     38     6    1   403
   49         4     39     6    1   444
   49         4     40     4    1   501
   49         4     41     1    1   418
   49         4     42     6    1   470
   49         4     43     7    1   460
   49         4     44     3    1   517
   49         4     45     1    1   410
   49         4     46     6    1   481
   49         4     47     4    0   328
   49         4     48     4    1   595
   49         4     49     8    1   418
   49         4     50     8    1   465
   49         4     51     5    1   485
   49         4     52     2    1   336
   49         4     53     5    1   336
