% SubNumber, Age, Gender 	     5    19     1
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
    5         1      1     8    1  1041
    5         1      2     8    1   366
    5         1      3     6    0   474
    5         1      4     4    1   470
    5         1      5     5    1   346
    5         1      6     1    1   305
    5         1      7     6    1   336
    5         1      8     3    1   351
    5         1      9     5    1   345
    5         1     10     8    1   325
    5         1     11     4    1   341
    5         1     12     7    1   284
    5         1     13     2    1   289
    5         1     14     3    0   392
    5         1     15     3    1   506
    5         1     16     5    1   358
    5         1     17     5    1   362
    5         1     18     6    1   330
    5         1     19     1    1   315
    5         1     20     6    1   326
    5         1     21     7    1   382
    5         1     22     2    1   315
    5         1     23     7    1   382
    5         1     24     8    1   300
    5         1     25     3    1   336
    5         1     26     2    1   454
    5         1     27     1    1   279
    5         1     28     4    1   392
    5         1     29     1    1   351
    5         1     30     4    1   351
    5         1     31     2    1   336
    5         1     32     7    1   305
    5         2      1     6    1     0
    5         2      2     4    1   439
    5         2      3     8    1   371
    5         2      4     4    1   418
    5         2      5     8    1   603
    5         2      6     4    1   310
    5         2      7     3    1   372
    5         2      8     4    1   367
    5         2      9     4    1   351
    5         2     10     1    1   290
    5         2     11     7    0   408
    5         2     12     2    1   454
    5         2     13     7    1   402
    5         2     14     7    1   356
    5         2     15     5    1   377
    5         2     16     4    1   392
    5         2     17     5    1   362
    5         2     18     5    1   470
    5         2     19     8    0   320
    5         2     20     8    1   408
    5         2     21     2    1   351
    5         2     22     2    1   315
    5         2     23     7    0   331
    5         2     24     5    1   505
    5         2     25     6    1   351
    5         2     26     6    1   362
    5         2     27     1    1   321
    5         2     28     3    1   366
    5         2     29     8    0   346
    5         2     30     5    0   408
    5         2     31     2    1   465
    5         2     32     6    1   372
    5         2     33     6    1   326
    5         2     34     7    1   310
    5         2     35     3    1   361
    5         2     36     3    1   351
    5         2     37     1    1   377
    5         2     38     1    1   326
    5         2     39     2    1   325
    5         2     40     8    1   315
    5         2     41     6    1   367
    5         2     42     7    1   382
    5         2     43     8    1   294
    5         2     44     8    1   362
    5         2     45     3    1   361
    5         2     46     3    1   347
    5         2     47     6    1   336
    5         2     48     4    1   371
    5         2     49     2    1   392
    5         2     50     1    1   345
    5         2     51     3    0   289
    5         2     52     1    1   495
    5         2     53     7    1   341
    5         2     54     4    1   366
    5         2     55     5    1   418
    5         2     56     3    1   450
    5         2     57     1    1   408
    5         2     58     2    1   341
    5         2     59     1    1   336
    5         2     60     5    1   305
    5         2     61     7    1   357
    5         2     62     6    1   363
    5         2     63     5    1   376
    5         2     64     2    1   306
    5         3      1     5    1   701
    5         3      2     7    1   464
    5         3      3     7    1   341
    5         3      4     7    1   331
    5         3      5     1    1   361
    5         3      6     2    1   315
    5         3      7     1    1   331
    5         3      8     4    1   367
    5         3      9     5    1   371
    5         3     10     7    1   546
    5         3     11     2    1   486
    5         3     12     2    1   351
    5         3     13     2    1   346
    5         3     14     6    1   325
    5         3     15     4    0   275
    5         3     16     6    1   475
    5         3     17     8    1   397
    5         3     18     3    1   382
    5         3     19     2    1   362
    5         3     20     1    1   392
    5         3     21     1    1   403
    5         3     22     5    1   320
    5         3     23     6    1   346
    5         3     24     6    1   366
    5         3     25     3    1   423
    5         3     26     8    1   326
    5         3     27     3    1   469
    5         3     28     6    1   351
    5         3     29     4    1   377
    5         3     30     1    1   356
    5         3     31     5    1   506
    5         3     32     2    1   562
    5         3     33     6    1   372
    5         3     34     8    1   459
    5         3     35     8    1   563
    5         3     36     5    1   398
    5         3     37     2    1   449
    5         3     38     1    1   361
    5         3     39     6    1   356
    5         3     40     4    1   536
    5         3     41     8    1   336
    5         3     42     3    1   356
    5         3     43     8    1   346
    5         3     44     4    1   367
    5         3     45     6    1   444
    5         3     46     4    1   356
    5         3     47     8    1   320
    5         3     48     1    1   320
    5         3     49     3    1   403
    5         3     50     7    1   357
    5         3     51     4    1   371
    5         3     52     2    1   855
    5         3     53     3    1   418
    5         3     54     1    1   521
    5         3     55     5    1   552
    5         3     56     5    1   366
    5         3     57     3    1   377
    5         3     58     8    1   362
    5         3     59     3    1   408
    5         3     60     4    1   397
    5         3     61     7    1   311
    5         3     62     5    0   407
    5         3     63     7    1   362
    5         3     64     7    1   485
    5         4      1     1    1   495
    5         4      2     3    1   372
    5         4      3     6    1   382
    5         4      4     2    1   387
    5         4      5     1    1   357
    5         4      6     8    1   387
    5         4      7     1    1   429
    5         4      8     5    1   521
    5         4      9     3    1   511
    5         4     10     7    1   402
    5         4     11     7    1   407
    5         4     12     1    1   377
    5         4     13     5    1   351
    5         4     14     1    1   505
    5         4     15     6    1   351
    5         4     16     6    1   408
    5         4     17     4    0   305
    5         4     18     1    1   480
    5         4     19     2    1   341
    5         4     20     8    1   371
    5         4     21     8    1   346
    5         4     22     5    1   315
    5         4     23     4    1   428
    5         4     24     5    1   419
    5         4     25     6    1   382
    5         4     26     2    1   275
    5         4     27     2    1   331
    5         4     28     7    1   520
    5         4     29     3    1   383
    5         4     30     2    1   450
    5         4     31     4    1   403
    5         4     32     6    1   593
    5         4     33     6    1   341
    5         4     34     1    1   398
    5         4     35     5    1   367
    5         4     36     6    1   356
    5         4     37     4    1   382
    5         4     38     5    1   413
    5         4     39     3    1   366
    5         4     40     5    1   351
    5         4     41     8    1   340
    5         4     42     2    1   557
    5         4     43     7    1   392
    5         4     44     5    0   371
    5         4     45     7    1   495
    5         4     46     7    1   645
    5         4     47     4    1   382
    5         4     48     3    1   418
    5         4     49     2    1   351
    5         4     50     8    1   506
    5         4     51     4    1   367
    5         4     52     7    1   598
    5         4     53     2    1   429
    5         4     54     7    1   351
    5         4     55     1    1   341
    5         4     56     8    1   320
    5         4     57     6    1   320
    5         4     58     3    1   316
    5         4     59     3    1   434
    5         4     60     8    1   331
    5         4     61     4    1   331
    5         4     62     3    1   378
    5         4     63     4    1   371
    5         4     64     8    1   346
    5         5      1     8    1   423
    5         5      2     5    0   320
    5         5      3     3    1   464
    5         5      4     5    1   373
    5         5      5     7    1   388
    5         5      6     6    1   377
    5         5      7     3    1   392
    5         5      8     1    1   459
    5         5      9     8    1   485
    5         5     10     1    1   372
    5         5     11     1    1   393
    5         5     12     2    1   382
    5         5     13     6    1   346
    5         5     14     2    1   423
    5         5     15     3    1   480
    5         5     16     3    1   495
    5         5     17     5    1   341
    5         5     18     3    1   361
    5         5     19     1    1   362
    5         5     20     7    1   459
    5         5     21     1    1   444
    5         5     22     2    1   367
    5         5     23     7    1   388
    5         5     24     6    1   341
    5         5     25     5    0   356
    5         5     26     8    1   449
    5         5     27     6    1   392
    5         5     28     7    1   573
    5         5     29     4    1   397
    5         5     30     2    1   386
    5         5     31     8    1   387
    5         5     32     3    1   366
    5         5     33     6    1   372
    5         5     34     7    1   362
    5         5     35     4    1   423
    5         5     36     5    1   398
    5         5     37     8    1   408
    5         5     38     4    1   346
    5         5     39     2    1   304
    5         5     40     7    0   320
    5         5     41     2    1   470
    5         5     42     7    1   310
    5         5     43     8    1   342
    5         5     44     4    1   347
    5         5     45     3    1   361
    5         5     46     2    1   331
    5         5     47     1    1   351
    5         5     48     4    1   567
    5         5     49     4    0   316
    5         5     50     5    1   433
    5         5     51     5    1   362
    5         5     52     1    1   320
    5         5     53     7    1   454
    5         5     54     8    1   346
    5         5     55     8    1   412
    5         5     56     6    1   443
    5         5     57     6    1   316
    5         5     58     2    1   346
    5         5     59     6    1   361
    5         5     60     1    1   495
    5         5     61     4    1   372
    5         5     62     5    1   361
    5         5     63     3    1   444
    5         5     64     4    1   413
    5         6      1     5    1   346
    5         6      2     5    1   289
    5         6      3     3    1   382
    5         6      4     3    1   354
    5         6      5     5    0   326
    5         6      6     6    1   362
    5         6      7     7    1   552
    5         6      8     3    1   351
    5         6      9     4    1   346
    5         6     10     3    1   377
    5         6     11     1    1   377
    5         6     12     4    1   352
    5         6     13     4    1   346
    5         6     14     7    1   619
    5         6     15     2    1   449
    5         6     16     8    1   470
    5         6     17     4    1   346
    5         6     18     3    1   378
    5         6     19     6    1   455
    5         6     20     7    1   423
    5         6     21     7    1   367
    5         6     22     2    1   378
    5         6     23     5    1   394
    5         6     24     7    1   388
    5         6     25     1    1   383
    5         6     26     4    1   383
    5         6     27     8    1   439
    5         6     28     8    1   325
    5         6     29     2    1   461
    5         6     30     1    1   403
    5         6     31     3    1   552
    5         6     32     1    1   485
    5         6     33     8    1   459
    5         6     34     6    1   378
    5         6     35     1    1   398
    5         6     36     5    1   393
    5         6     37     5    1   532
    5         6     38     6    1   418
    5         6     39     2    0   434
    5         6     40     4    1   444
    5         6     41     6    1   398
    5         6     42     1    1   507
    5         6     43     4    1   423
    5         6     44     3    1   820
    5         6     45     4    1   323
    5         6     46     8    1   351
    5         6     47     6    1   336
    5         6     48     7    1   356
    5         6     49     8    1   362
    5         6     50     2    1   331
    5         6     51     8    1   321
    5         6     52     8    1   594
    5         6     53     3    1   357
    5         6     54     1    1   321
    5         6     55     5    1   295
    5         6     56     2    1   279
    5         6     57     2    1   331
    5         6     58     5    1   316
    5         6     59     2    1   434
    5         6     60     1    1   290
    5         6     61     7    1   336
    5         6     62     6    1   301
    5         6     63     7    1   341
    5         6     64     6    1   316
    5         7      1     6    1   362
    5         7      2     1    1   310
    5         7      3     2    1   259
    5         7      4     3    1   490
    5         7      5     7    1   315
    5         7      6     5    1   321
    5         7      7     5    1   336
    5         7      8     2    1   326
    5         7      9     8    1   378
