% SubNumber, Age, Gender 	    74    20     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   74         8      1     3    0  1299
   74         8      2     1    1   557
   74         8      3     2    1   655
   74         8      4     1    1   480
   74         8      5     6    1   531
   74         8      6     7    1   614
   74         8      7     6    1   650
   74         8      8     3    1   567
   74         8      9     1    1   604
   74         8     10     4    1   630
   74         8     11     8    1   897
   74         8     12     8    1   528
   74         8     13     2    1   537
   74         8     14     5    1   341
   74         8     15     2    1   480
   74         8     16     3    1   444
   74         8     17     3    1   372
   74         8     18     4    1   305
   74         8     19     6    1   388
   74         8     20     8    1   351
   74         8     21     4    1   604
   74         8     22     4    1   393
   74         8     23     1    0   325
   74         8     24     7    1   907
   74         8     25     5    1   825
   74         8     26     7    1   465
   74         8     27     6    1   537
   74         8     28     7    1   552
   74         8     29     8    1   511
   74         8     30     2    1   369
   74         8     31     5    1   342
   74         8     32     5    1   310
   74         9      1     8    1   768
   74         9      2     1    1   506
   74         9      3     3    1   316
   74         9      4     4    1   419
   74         9      5     3    1   346
   74         9      6     8    1   336
   74         9      7     6    1   317
   74         9      8     3    1   413
   74         9      9     4    1   336
   74         9     10     4    1   321
   74         9     11     7    1   352
   74         9     12     1    1   501
   74         9     13     6    1   362
   74         9     14     6    1   346
   74         9     15     8    1   429
   74         9     16     6    1   511
   74         9     17     7    1   481
   74         9     18     5    1   527
   74         9     19     6    1   373
   74         9     20     1    1   337
   74         9     21     2    1   902
   74         9     22     5    1   341
   74         9     23     8    1   527
   74         9     24     1    1   409
   74         9     25     4    0   337
   74         9     26     7    1   480
   74         9     27     5    1   393
   74         9     28     1    1   388
   74         9     29     8    1   408
   74         9     30     1    1   568
   74         9     31     2    1   332
   74         9     32     3    1   336
   74         9     33     8    1   341
   74         9     34     1    1   342
   74         9     35     2    1   306
   74         9     36     5    1   279
   74         9     37     8    0   297
   74         9     38     5    1   614
   74         9     39     7    1   490
   74         9     40     2    1   455
   74         9     41     3    0   311
   74         9     42     7    1   537
   74         9     43     2    1   501
   74         9     44     5    1   300
   74         9     45     7    1   521
   74         9     46     2    1   403
   74         9     47     1    1   388
   74         9     48     5    1   558
   74         9     49     4    1   522
   74         9     50     5    1   418
   74         9     51     4    1   552
   74         9     52     6    1   573
   74         9     53     8    1   403
   74         9     54     6    1   351
   74         9     55     2    1   331
   74         9     56     3    1   439
   74         9     57     2    1   481
   74         9     58     7    1   563
   74         9     59     6    1   341
   74         9     60     3    1   533
   74         9     61     3    1   408
   74         9     62     7    1   403
   74         9     63     4    1   512
   74         9     64     4    1   403
   74        10      1     2    0   424
   74        10      2     8    1   522
   74        10      3     2    1   393
   74        10      4     7    1   418
   74        10      5     1    1   362
   74        10      6     5    1   305
   74        10      7     6    1   342
   74        10      8     5    1   310
   74        10      9     1    1   331
   74        10     10     6    1   280
   74        10     11     4    1   506
   74        10     12     4    1   429
   74        10     13     3    1   403
   74        10     14     1    1   326
   74        10     15     2    1   351
   74        10     16     4    0   295
   74        10     17     7    1   500
   74        10     18     3    1   342
   74        10     19     1    1   392
   74        10     20     4    1   542
   74        10     21     8    1   403
   74        10     22     8    1   655
   74        10     23     4    1   404
   74        10     24     5    1   536
   74        10     25     7    1   496
   74        10     26     7    1   399
   74        10     27     3    1   392
   74        10     28     3    1   501
   74        10     29     1    1   562
   74        10     30     7    1   485
   74        10     31     6    1   547
   74        10     32     8    1   476
   74        10     33     6    0  1371
   74        10     34     6    0   877
   74        10     35     7    1   534
   74        10     36     5    1   367
   74        10     37     8    1   511
   74        10     38     5    1   449
   74        10     39     6    1   418
   74        10     40     5    1   393
   74        10     41     1    1   444
   74        10     42     6    1   398
   74        10     43     2    1   619
   74        10     44     7    1   516
   74        10     45     8    1   393
   74        10     46     1    1   490
   74        10     47     2    1   722
   74        10     48     4    1   552
   74        10     49     4    1   805
   74        10     50     2    1   496
   74        10     51     1    0   537
   74        10     52     3    1   511
   74        10     53     5    1   635
   74        10     54     4    1   588
   74        10     55     6    1   511
   74        10     56     7    1   521
   74        10     57     3    1   691
   74        10     58     2    0   460
   74        10     59     2    1   496
   74        10     60     5    1   476
   74        10     61     3    1   511
   74        10     62     8    1   526
   74        10     63     3    1   588
   74        10     64     8    1   516
   74        11      1     1    0   625
   74        11      2     8    1   676
   74        11      3     1    1   749
   74        11      4     2    1   537
   74        11      5     6    1   368
   74        11      6     6    1   373
   74        11      7     5    1   382
   74        11      8     3    1   568
   74        11      9     7    1   408
   74        11     10     8    1   593
   74        11     11     5    1   506
   74        11     12     1    1   403
   74        11     13     4    1   532
   74        11     14     6    1   593
   74        11     15     7    1   531
   74        11     16     4    1   460
   74        11     17     7    1   516
   74        11     18     8    1   531
   74        11     19     1    1   661
   74        11     20     2    1   686
   74        11     21     5    1   454
   74        11     22     3    1   552
   74        11     23     7    1   964
   74        11     24     4    1   486
   74        11     25     1    1   574
   74        11     26     8    1   465
   74        11     27     4    1   619
   74        11     28     5    1   637
   74        11     29     4    1   598
   74        11     30     6    1   537
   74        11     31     7    1   485
   74        11     32     4    1   403
   74        11     33     1    0   450
   74        11     34     6    1  1103
   74        11     35     7    1   450
   74        11     36     7    1   542
   74        11     37     6    1   342
   74        11     38     6    1   361
   74        11     39     3    1   465
   74        11     40     5    1   470
   74        11     41     2    1   701
   74        11     42     2    1   382
   74        11     43     8    1   455
   74        11     44     5    1   351
   74        11     45     2    1   440
   74        11     46     3    1   522
   74        11     47     4    1   439
   74        11     48     3    1   373
   74        11     49     1    1   516
   74        11     50     4    1   511
   74        11     51     5    1   393
   74        11     52     3    1   408
   74        11     53     7    1   444
   74        11     54     8    1   568
   74        11     55     2    1   640
   74        11     56     8    1   361
   74        11     57     5    1   367
   74        11     58     3    1   347
   74        11     59     1    1   418
   74        11     60     3    1   532
   74        11     61     2    1   655
   74        11     62     2    1   393
   74        11     63     6    1   398
   74        11     64     8    1   542
   74        12      1     2    1   655
   74        12      2     3    0   352
   74        12      3     8    1   533
   74        12      4     7    1   578
   74        12      5     1    1   625
   74        12      6     2    1   583
   74        12      7     1    1   604
   74        12      8     7    1   506
   74        12      9     5    1   336
   74        12     10     7    1   404
   74        12     11     7    1   445
   74        12     12     6    1   553
   74        12     13     3    0   353
   74        12     14     2    1   743
   74        12     15     8    1   445
   74        12     16     5    1   527
   74        12     17     6    1   599
   74        12     18     8    1   526
   74        12     19     4    1   461
   74        12     20     2    1   687
   74        12     21     1    1   763
   74        12     22     8    1   533
   74        12     23     7    1   681
   74        12     24     5    1   527
   74        12     25     7    1   516
   74        12     26     3    1   516
   74        12     27     4    0   625
   74        12     28     5    1   718
   74        12     29     8    1   418
   74        12     30     8    1   579
   74        12     31     7    1   686
   74        12     32     8    1   567
   74        12     33     1    1   506
   74        12     34     3    1   403
   74        12     35     3    1   439
   74        12     36     5    1   351
   74        12     37     7    1   434
   74        12     38     8    1   558
   74        12     39     1    1   553
   74        12     40     4    1   491
   74        12     41     3    1   501
   74        12     42     3    1   388
   74        12     43     5    1   439
   74        12     44     6    1   470
   74        12     45     6    1   357
   74        12     46     2    1   460
   74        12     47     4    0   419
   74        12     48     4    1   486
   74        12     49     6    1   320
   74        12     50     4    1   414
   74        12     51     5    1   342
   74        12     52     6    1   341
   74        12     53     1    1   336
   74        12     54     1    1   351
   74        12     55     3    1   954
   74        12     56     5    1   424
   74        12     57     4    1   449
   74        12     58     6    1   393
   74        12     59     2    1   382
   74        12     60     1    1   481
   74        12     61     6    1   325
   74        12     62     2    1   316
   74        12     63     4    1   486
   74        12     64     2    1   459
   74        13      1     7    1   650
   74        13      2     6    1   392
   74        13      3     6    1   440
   74        13      4     2    1   337
   74        13      5     3    1   372
   74        13      6     3    1   408
   74        13      7     4    1   536
   74        13      8     5    1   455
   74        13      9     6    1   418
   74        13     10     4    1   475
   74        13     11     2    1   465
   74        13     12     1    1   506
   74        13     13     3    1   496
   74        13     14     6    1   511
   74        13     15     7    0   424
   74        13     16     8    1   625
   74        13     17     5    1   429
   74        13     18     7    1   517
   74        13     19     7    1   763
   74        13     20     4    1   480
   74        13     21     8    1   542
   74        13     22     4    1   419
   74        13     23     7    1   465
   74        13     24     1    1   516
   74        13     25     3    1   542
   74        13     26     2    1   506
   74        13     27     4    1   526
   74        13     28     1    1   583
   74        13     29     2    1   480
   74        13     30     2    1   475
   74        13     31     5    1   511
   74        13     32     5    1   352
   74        13     33     8    1   526
   74        13     34     1    1   563
   74        13     35     5    1   413
   74        13     36     8    1   506
   74        13     37     4    1   470
   74        13     38     3    1   552
   74        13     39     3    1   439
   74        13     40     6    1   768
   74        13     41     2    1   419
   74        13     42     8    1   526
   74        13     43     7    1   424
   74        13     44     4    1   398
   74        13     45     1    1   526
   74        13     46     6    1   557
   74        13     47     6    1   464
   74        13     48     7    1   460
   74        13     49     2    1   491
   74        13     50     5    1   521
   74        13     51     1    1   774
   74        13     52     8    1   475
   74        13     53     6    1   378
   74        13     54     8    1   439
   74        13     55     5    1   568
   74        13     56     2    1   511
