% SubNumber, Age, Gender 	    68    21     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   68         8      1     5    1   926
   68         8      2     5    1   420
   68         8      3     2    1   393
   68         8      4     8    0   336
   68         8      5     5    1   455
   68         8      6     1    1   789
   68         8      7     6    1  1027
   68         8      8     4    1   820
   68         8      9     4    0   424
   68         8     10     8    0   619
   68         8     11     7    1   532
   68         8     12     7    1   424
   68         8     13     6    1   450
   68         8     14     2    0   502
   68         8     15     6    0  1089
   68         8     16     3    1   841
   68         8     17     8    1   846
   68         8     18     3    1   671
   68         8     19     8    0   584
   68         8     20     1    1   475
   68         8     21     2    1   692
   68         8     22     6    1   290
   68         8     23     3    0   435
   68         8     24     2    1  1492
   68         8     25     7    1   507
   68         8     26     1    1   440
   68         8     27     3    0   300
   68         8     28     4    1   606
   68         8     29     4    1   404
   68         8     30     1    1   502
   68         8     31     7    1   563
   68         8     32     5    1   347
   68         9      1     8    1   573
   68         9      2     2    1   681
   68         9      3     3    0   295
   68         9      4     5    1   826
   68         9      5     4    1   465
   68         9      6     1    1   372
   68         9      7     8    0   480
   68         9      8     6    1   367
   68         9      9     2    1   619
   68         9     10     1    1   630
   68         9     11     2    1   311
   68         9     12     4    0   444
   68         9     13     2    1  1124
   68         9     14     3    1   445
   68         9     15     6    1   367
   68         9     16     6    1   321
   68         9     17     2    1   511
   68         9     18     5    1   341
   68         9     19     8    1   516
   68         9     20     3    1   408
   68         9     21     8    1   254
   68         9     22     3    1   547
   68         9     23     1    1   346
   68         9     24     6    1   357
   68         9     25     4    0   362
   68         9     26     3    1   351
   68         9     27     4    1   419
   68         9     28     7    1   552
   68         9     29     7    1   449
   68         9     30     7    1   435
   68         9     31     2    0   444
   68         9     32     7    1   502
   68         9     33     8    1   573
   68         9     34     8    1   547
   68         9     35     6    1   470
   68         9     36     7    1   569
   68         9     37     6    1  1180
   68         9     38     4    1   436
   68         9     39     4    1   336
   68         9     40     5    0   399
   68         9     41     7    0   424
   68         9     42     6    1   516
   68         9     43     4    1   481
   68         9     44     7    0   351
   68         9     45     3    1   558
   68         9     46     5    1   459
   68         9     47     1    1   491
   68         9     48     1    1   460
   68         9     49     5    1   357
   68         9     50     8    1   501
   68         9     51     5    0   470
   68         9     52     8    1   558
   68         9     53     3    1   548
   68         9     54     7    1   537
   68         9     55     2    1   964
   68         9     56     1    1   522
   68         9     57     1    1   465
   68         9     58     3    0   295
   68         9     59     4    1   687
   68         9     60     2    1   501
   68         9     61     1    1   635
   68         9     62     6    1   542
   68         9     63     5    1   378
   68         9     64     5    1   440
   68        10      1     1    1   537
   68        10      2     2    0   707
   68        10      3     7    1   604
   68        10      4     8    1   748
   68        10      5     5    1   491
   68        10      6     7    1  1057
   68        10      7     2    1  1371
   68        10      8     8    1   393
   68        10      9     8    1   332
   68        10     10     1    1   408
   68        10     11     1    1   300
   68        10     12     3    1   496
   68        10     13     1    0   378
   68        10     14     8    1  1011
   68        10     15     2    1   351
   68        10     16     7    0   491
   68        10     17     2    1   434
   68        10     18     5    0  1088
   68        10     19     7    1   533
   68        10     20     5    1   650
   68        10     21     7    1   398
   68        10     22     2    1   460
   68        10     23     4    1   558
   68        10     24     3    1   372
   68        10     25     5    1   352
   68        10     26     6    1   362
   68        10     27     6    1   305
   68        10     28     6    1   300
   68        10     29     3    0   383
   68        10     30     6    1   368
   68        10     31     2    1   486
   68        10     32     8    1   717
   68        10     33     1    1   321
   68        10     34     4    0   362
   68        10     35     7    1   702
   68        10     36     1    1   475
   68        10     37     1    1   315
   68        10     38     4    1   449
   68        10     39     7    1   506
   68        10     40     6    1   547
   68        10     41     6    1   398
   68        10     42     4    1   377
   68        10     43     4    1   434
   68        10     44     7    1   351
   68        10     45     5    1   450
   68        10     46     5    1   403
   68        10     47     4    1   367
   68        10     48     8    1   439
   68        10     49     5    1   418
   68        10     50     1    1   450
   68        10     51     3    1   372
   68        10     52     3    1   352
   68        10     53     8    1   428
   68        10     54     6    1   398
   68        10     55     6    1   393
   68        10     56     3    1   300
   68        10     57     3    0   357
   68        10     58     3    1   439
   68        10     59     5    1   372
   68        10     60     4    1   336
   68        10     61     2    1   501
   68        10     62     2    1   620
   68        10     63     8    1   490
   68        10     64     4    1   609
   68        11      1     3    1   635
   68        11      2     6    1   497
   68        11      3     6    1   372
   68        11      4     8    1   604
   68        11      5     8    1   393
   68        11      6     2    1   346
   68        11      7     1    1   547
   68        11      8     4    1   501
   68        11      9     7    1   475
   68        11     10     7    1   439
   68        11     11     4    1   455
   68        11     12     8    1   465
   68        11     13     3    1   449
   68        11     14     4    1   393
   68        11     15     7    1   408
   68        11     16     5    1   455
   68        11     17     5    1   414
   68        11     18     2    1   584
   68        11     19     7    1   610
   68        11     20     5    1   461
   68        11     21     4    1   382
   68        11     22     1    1   516
   68        11     23     8    1   537
   68        11     24     2    1   565
   68        11     25     3    1   387
   68        11     26     4    1   347
   68        11     27     7    1   475
   68        11     28     1    1   419
   68        11     29     3    1   501
   68        11     30     3    1   480
   68        11     31     6    0   378
   68        11     32     2    1   527
   68        11     33     7    1   635
   68        11     34     6    1   373
   68        11     35     6    1   393
   68        11     36     3    1   470
   68        11     37     6    1   379
   68        11     38     2    1   423
   68        11     39     1    1   419
   68        11     40     1    1   387
   68        11     41     8    0   368
   68        11     42     4    1   454
   68        11     43     2    1   527
   68        11     44     3    1   460
   68        11     45     4    1   387
   68        11     46     6    1   415
   68        11     47     4    1   315
   68        11     48     5    1   454
