% SubNumber, Age, Gender 	    81    20     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   81         1      1     1    1   436
   81         1      2     5    1   281
   81         1      3     6    1   290
   81         1      4     6    1   254
   81         1      5     4    0   265
   81         1      6     5    1   506
   81         1      7     3    1   456
   81         1      8     6    1   355
   81         1      9     3    1   429
   81         1     10     4    1   383
   81         1     11     8    1   341
   81         1     12     2    1   311
   81         1     13     1    1   305
   81         1     14     2    1   269
   81         1     15     4    0   284
   81         1     16     8    1   454
   81         1     17     2    1   310
   81         1     18     1    1   326
   81         1     19     8    1   452
   81         1     20     7    1   290
   81         1     21     5    1   403
   81         1     22     4    1   310
   81         1     23     7    1   397
   81         1     24     6    1   357
   81         1     25     1    1   366
   81         1     26     7    1   383
   81         1     27     3    1   341
   81         1     28     7    1   362
   81         1     29     3    1   351
   81         1     30     8    1   346
   81         1     31     5    1   325
   81         1     32     2    1   396
   81         2      1     3    1   445
   81         2      2     7    1   347
   81         2      3     5    1   346
   81         2      4     8    1   382
   81         2      5     3    1   378
   81         2      6     7    1   408
   81         2      7     7    1   475
   81         2      8     8    1   321
   81         2      9     5    1   344
   81         2     10     8    1   356
   81         2     11     6    1   338
   81         2     12     2    1   300
   81         2     13     8    1   387
   81         2     14     3    1   418
   81         2     15     3    0   300
   81         2     16     3    1   403
   81         2     17     8    1   346
   81         2     18     2    1   315
   81         2     19     7    1   295
   81         2     20     6    1   351
   81         2     21     2    1   357
   81         2     22     7    1   362
   81         2     23     6    1   326
   81         2     24     6    1   284
   81         2     25     5    1   300
   81         2     26     4    1   335
   81         2     27     4    1   455
   81         2     28     4    1   367
   81         2     29     8    1   402
   81         2     30     5    1   351
   81         2     31     5    1   315
   81         2     32     1    1   352
   81         2     33     3    1   341
   81         2     34     2    1   336
   81         2     35     1    1   352
   81         2     36     5    1   274
   81         2     37     6    1   275
   81         2     38     7    1   356
   81         2     39     2    1   320
   81         2     40     4    1   368
   81         2     41     5    1   248
   81         2     42     6    1   300
   81         2     43     2    1   336
   81         2     44     5    1   269
   81         2     45     1    1   351
   81         2     46     6    1   260
   81         2     47     1    1   290
   81         2     48     1    1   357
   81         2     49     3    1   382
   81         2     50     8    1   410
   81         2     51     1    1   347
   81         2     52     1    1   331
   81         2     53     2    1   295
   81         2     54     1    1   265
   81         2     55     8    0   295
   81         2     56     4    1   408
   81         2     57     4    1   321
   81         2     58     4    1   320
   81         2     59     2    1   356
   81         2     60     4    1   332
   81         2     61     3    1   393
   81         2     62     6    1   409
   81         2     63     7    1   373
   81         2     64     7    1   324
   81         3      1     4    1   455
   81         3      2     7    1   398
   81         3      3     2    0   414
   81         3      4     4    1   403
   81         3      5     1    1   357
   81         3      6     1    1   290
   81         3      7     4    1   330
   81         3      8     7    1   351
   81         3      9     3    1   353
   81         3     10     1    1   374
   81         3     11     5    1   346
   81         3     12     6    1   512
   81         3     13     8    1   399
   81         3     14     8    1   372
   81         3     15     3    1   352
   81         3     16     7    1   346
   81         3     17     2    0   393
   81         3     18     3    1   491
   81         3     19     4    1   326
   81         3     20     7    1   352
   81         3     21     7    1   269
   81         3     22     4    1   316
   81         3     23     1    1   341
   81         3     24     6    1   367
   81         3     25     6    1   311
   81         3     26     7    1   413
   81         3     27     5    1   351
   81         3     28     3    1   485
   81         3     29     5    1   372
   81         3     30     8    1   399
   81         3     31     6    1   331
   81         3     32     5    1   336
   81         3     33     1    1   357
   81         3     34     1    1   343
   81         3     35     3    1   383
   81         3     36     7    1   367
   81         3     37     7    1   399
   81         3     38     4    1   336
   81         3     39     2    0   367
   81         3     40     3    1   387
   81         3     41     1    1   357
   81         3     42     6    1   300
   81         3     43     4    1   347
   81         3     44     3    1   357
   81         3     45     5    1   404
   81         3     46     8    1   460
   81         3     47     8    1   315
   81         3     48     5    1   325
   81         3     49     8    1   434
   81         3     50     8    1   393
   81         3     51     5    1   392
   81         3     52     2    1   337
   81         3     53     2    1   336
   81         3     54     3    1   348
   81         3     55     6    1   417
   81         3     56     1    1   341
   81         3     57     5    1   290
   81         3     58     6    1   311
   81         3     59     2    1   342
   81         3     60     2    1   337
   81         3     61     6    1   274
   81         3     62     4    1   496
   81         3     63     2    1   434
   81         3     64     8    0   265
   81         4      1     2    1   635
   81         4      2     7    1   423
   81         4      3     5    1   465
   81         4      4     1    1   382
   81         4      5     7    1   419
   81         4      6     8    1   367
   81         4      7     3    1   346
   81         4      8     2    1   415
   81         4      9     8    1   362
   81         4     10     2    1   367
   81         4     11     4    1   434
   81         4     12     4    1   347
   81         4     13     7    1   418
   81         4     14     4    1   347
   81         4     15     4    1   313
   81         4     16     3    1   351
   81         4     17     7    1   362
   81         4     18     8    1   382
   81         4     19     1    1   347
   81         4     20     2    1   311
   81         4     21     6    1   558
   81         4     22     4    1   274
   81         4     23     2    1   356
   81         4     24     3    1   423
   81         4     25     5    1   434
   81         4     26     5    1   388
   81         4     27     3    1   439
   81         4     28     5    1   341
   81         4     29     5    1   316
   81         4     30     7    1   404
   81         4     31     7    1   332
   81         4     32     3    1   388
   81         4     33     6    1   475
   81         4     34     6    1   301
   81         4     35     7    1   434
   81         4     36     6    1   358
   81         4     37     6    1   275
   81         4     38     8    1   415
   81         4     39     1    1   389
   81         4     40     1    1   321
   81         4     41     8    1   403
   81         4     42     3    1   377
   81         4     43     1    1   346
   81         4     44     1    1   511
   81         4     45     3    1   398
   81         4     46     6    1   307
   81         4     47     1    1   362
   81         4     48     2    1   331
   81         4     49     2    1   300
   81         4     50     3    0   275
   81         4     51     8    1   434
   81         4     52     5    1   362
   81         4     53     2    1   342
   81         4     54     4    1   356
   81         4     55     4    1   297
   81         4     56     6    1   344
   81         4     57     7    1   404
   81         4     58     4    1   378
   81         4     59     6    1   261
   81         4     60     8    1   430
   81         4     61     5    1   344
   81         4     62     5    1   349
   81         4     63     8    0   275
   81         4     64     1    1   355
   81         5      1     4    1   634
   81         5      2     2    1   403
   81         5      3     6    1   490
   81         5      4     3    1   372
   81         5      5     7    1   341
   81         5      6     6    1   311
   81         5      7     8    1   758
   81         5      8     2    1   393
   81         5      9     1    1   346
   81         5     10     3    1   321
   81         5     11     6    1   464
   81         5     12     3    1   342
   81         5     13     3    1   330
   81         5     14     2    1   408
   81         5     15     2    1   501
   81         5     16     4    1   346
   81         5     17     5    1   330
   81         5     18     7    1   399
   81         5     19     3    1   337
   81         5     20     8    1   393
   81         5     21     8    1   368
   81         5     22     5    1   372
   81         5     23     2    0   368
   81         5     24     5    1   320
   81         5     25     8    1   387
   81         5     26     5    1   327
   81         5     27     1    1   300
   81         5     28     4    1   388
   81         5     29     2    1   382
   81         5     30     4    1   377
   81         5     31     5    1   320
   81         5     32     7    1   346
   81         5     33     4    1   284
   81         5     34     7    1   356
   81         5     35     6    1   260
   81         5     36     3    1   455
   81         5     37     8    1   496
   81         5     38     1    1   413
   81         5     39     8    1   346
   81         5     40     6    1   367
   81         5     41     6    1   290
   81         5     42     4    1   351
   81         5     43     7    1   393
   81         5     44     6    1   347
   81         5     45     1    0   414
   81         5     46     2    1   444
   81         5     47     3    1   331
   81         5     48     1    1   351
   81         5     49     1    1   331
   81         5     50     4    1   408
   81         5     51     1    1   403
   81         5     52     8    1   434
   81         5     53     6    1   352
   81         5     54     5    1   343
   81         5     55     8    1   413
   81         5     56     1    0   325
   81         5     57     7    1   326
   81         5     58     2    1   305
   81         5     59     7    1   331
   81         5     60     5    1   294
   81         5     61     5    1   295
   81         5     62     7    1   383
   81         5     63     3    1   336
   81         5     64     4    1   332
   81         6      1     2    1   414
   81         6      2     5    1   316
   81         6      3     4    1   418
   81         6      4     8    1   408
   81         6      5     1    1   470
   81         6      6     6    1   300
   81         6      7     1    1   331
   81         6      8     7    1   650
   81         6      9     3    1   363
   81         6     10     8    1   341
   81         6     11     1    0   346
   81         6     12     4    1   424
   81         6     13     3    1   402
   81         6     14     3    1   335
   81         6     15     5    1   388
   81         6     16     8    1   382
   81         6     17     6    1   403
   81         6     18     6    1   460
   81         6     19     8    1   404
   81         6     20     3    1   409
   81         6     21     6    1   341
   81         6     22     2    1   351
   81         6     23     3    1   466
   81         6     24     2    1   383
   81         6     25     1    1   341
   81         6     26     8    1   372
   81         6     27     2    1   336
   81         6     28     6    1   332
   81         6     29     7    1   377
   81         6     30     6    1   341
   81         6     31     5    1   285
   81         6     32     8    1   387
   81         6     33     1    1   310
   81         6     34     5    1   372
   81         6     35     2    1   336
   81         6     36     6    1   357
   81         6     37     4    1   434
   81         6     38     8    1   382
   81         6     39     5    0   465
   81         6     40     4    1   331
   81         6     41     5    1   367
   81         6     42     3    1   331
   81         6     43     1    1   361
   81         6     44     3    1   325
   81         6     45     7    1   372
   81         6     46     2    0   326
   81         6     47     8    1   387
   81         6     48     5    1   337
   81         6     49     4    1   383
   81         6     50     1    1   362
   81         6     51     7    1   454
   81         6     52     7    1   372
   81         6     53     7    1   377
   81         6     54     7    1   326
   81         6     55     1    1   341
   81         6     56     7    1   331
   81         6     57     5    1   362
   81         6     58     3    1   325
   81         6     59     4    1   300
   81         6     60     4    1   377
   81         6     61     4    1   367
   81         6     62     6    1   424
   81         6     63     2    1   357
   81         6     64     2    1   306
   81         7      1     6    1   310
   81         7      2     7    1   403
   81         7      3     4    1   336
   81         7      4     8    1   388
   81         7      5     3    1   264
   81         7      6     5    0   377
   81         7      7     1    1   527
   81         7      8     1    1   331
   81         7      9     7    1   367
   81         7     10     6    1   331
   81         7     11     3    1   356
   81         7     12     3    1   336
   81         7     13     1    1   439
   81         7     14     6    1   367
   81         7     15     8    0   331
   81         7     16     8    1   378
   81         7     17     2    1   321
   81         7     18     5    1   372
   81         7     19     5    1   316
   81         7     20     7    1   387
   81         7     21     7    1   361
   81         7     22     8    1   357
   81         7     23     7    1   336
   81         7     24     5    1   373
   81         7     25     8    1   428
   81         7     26     4    1   363
   81         7     27     6    1   320
   81         7     28     3    1   367
   81         7     29     6    1   387
   81         7     30     5    1   326
   81         7     31     3    1   377
   81         7     32     6    1   352
   81         7     33     6    1   325
   81         7     34     8    1   428
   81         7     35     2    1   362
   81         7     36     2    1   321
   81         7     37     8    1   445
   81         7     38     8    1   393
   81         7     39     6    0   249
   81         7     40     2    1   491
   81         7     41     3    1   382
   81         7     42     1    1   408
   81         7     43     1    1   300
   81         7     44     2    1   279
   81         7     45     4    1   408
   81         7     46     4    1   357
   81         7     47     7    1   341
   81         7     48     1    1   284
   81         7     49     4    1   382
   81         7     50     2    1   366
   81         7     51     4    1   361
   81         7     52     7    1   393
   81         7     53     5    1   346
   81         7     54     3    1   353
   81         7     55     3    1   326
   81         7     56     1    1   357
   81         7     57     2    1   465
   81         7     58     7    1   377
   81         7     59     4    1   414
   81         7     60     5    1   321
   81         7     61     2    1   444
   81         7     62     4    1   424
   81         7     63     1    1   471
   81         7     64     5    1   341
   81         8      1     2    1  1421
   81         8      2     5    1   794
   81         8      3     4    1   635
   81         8      4     6    1   409
   81         8      5     7    1   666
   81         8      6     1    1   491
   81         8      7     8    1   650
   81         8      8     6    1   379
   81         8      9     8    1   429
   81         8     10     4    1   367
   81         8     11     3    1   717
   81         8     12     2    1   403
   81         8     13     4    1   490
   81         8     14     1    1   490
   81         8     15     3    1   521
   81         8     16     4    1   377
   81         8     17     5    1   306
   81         8     18     6    1   300
   81         8     19     7    1   532
   81         8     20     3    1   526
   81         8     21     2    1   454
   81         8     22     2    1   367
   81         8     23     8    1   377
   81         8     24     8    1   331
   81         8     25     1    1   413
   81         8     26     7    1   300
   81         8     27     6    0   299
   81         8     28     1    1   542
   81         8     29     3    1   439
   81         8     30     5    1   346
   81         8     31     7    1   542
   81         8     32     5    1   356
   81         9      1     5    1   588
   81         9      2     8    1   424
   81         9      3     4    1   429
   81         9      4     2    1   382
   81         9      5     3    1   409
   81         9      6     3    1   341
   81         9      7     5    1   295
   81         9      8     1    1   552
   81         9      9     8    1   439
   81         9     10     4    1   552
   81         9     11     7    1   413
   81         9     12     8    1   372
   81         9     13     1    1   403
   81         9     14     2    0   444
   81         9     15     7    1   485
   81         9     16     7    1   316
   81         9     17     6    0   290
   81         9     18     4    1   372
   81         9     19     2    1   384
   81         9     20     8    1   320
   81         9     21     4    0   310
   81         9     22     3    1   423
   81         9     23     3    1   322
   81         9     24     2    1   398
   81         9     25     1    1   434
   81         9     26     7    1   373
   81         9     27     6    0   352
   81         9     28     8    1   404
   81         9     29     4    1   439
   81         9     30     6    1   307
   81         9     31     6    1   320
   81         9     32     8    1   413
   81         9     33     1    1   521
   81         9     34     7    1   382
   81         9     35     7    1   393
