% SubNumber, Age, Gender 	    15    23     1
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   15         1      1     5    1  1278
   15         1      2     4    1   758
   15         1      3     8    1   707
   15         1      4     8    1  1325
   15         1      5     6    1   624
   15         1      6     2    1  1226
   15         1      7     8    1   655
   15         1      8     1    1   429
   15         1      9     3    1   686
   15         1     10     7    1   671
   15         1     11     2    1   624
   15         1     12     4    1   527
   15         1     13     5    1   594
   15         1     14     5    1   408
   15         1     15     3    1   655
   15         1     16     7    1   773
   15         1     17     4    1   536
   15         1     18     4    1   681
   15         1     19     1    1   645
   15         1     20     7    1   846
   15         1     21     2    1   449
   15         1     22     1    1   521
   15         1     23     5    1   486
   15         1     24     2    1   866
   15         1     25     3    1   506
   15         1     26     1    1   557
   15         1     27     3    1   757
   15         1     28     6    1   624
   15         1     29     6    1   521
   15         1     30     7    1   593
   15         1     31     8    1  1221
   15         1     32     6    1   716
   15         2      1     4    1  1118
   15         2      2     2    1   644
   15         2      3     5    1   851
   15         2      4     7    1   646
   15         2      5     1    1   784
   15         2      6     2    1   893
   15         2      7     6    1   537
   15         2      8     1    1   480
   15         2      9     4    1   639
   15         2     10     4    1   809
   15         2     11     6    1   526
   15         2     12     2    1   547
   15         2     13     3    1   573
   15         2     14     6    1   722
   15         2     15     4    1   681
   15         2     16     4    1   671
   15         2     17     4    1   609
   15         2     18     5    1   748
   15         2     19     4    1   639
   15         2     20     8    1   650
   15         2     21     2    1   891
   15         2     22     2    1   660
   15         2     23     6    1   553
   15         2     24     5    1   645
   15         2     25     8    1   655
   15         2     26     1    0   795
   15         2     27     8    1   974
   15         2     28     3    1   640
   15         2     29     8    1  1052
   15         2     30     5    1   604
   15         2     31     3    1   724
   15         2     32     5    1   979
   15         2     33     7    1   650
   15         2     34     3    1   799
   15         2     35     4    1   908
   15         2     36     6    1  1097
   15         2     37     2    1   778
   15         2     38     7    1   964
   15         2     39     1    1   531
   15         2     40     7    1   439
