% SubNumber, Age, Gender 	    66    19     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   66         8      1     3    0   541
   66         8      2     8    1   584
   66         8      3     5    1   537
   66         8      4     6    1   608
   66         8      5     8    1   428
   66         8      6     2    1  1468
   66         8      7     2    1   485
   66         8      8     6    1   521
   66         8      9     1    0   434
   66         8     10     6    1   537
   66         8     11     2    1   799
   66         8     12     7    1   747
   66         8     13     5    1   568
   66         8     14     4    1   619
   66         8     15     4    1   455
   66         8     16     3    1   536
   66         8     17     8    1   429
   66         8     18     3    1   495
   66         8     19     2    0   583
   66         8     20     7    1   542
   66         8     21     5    1   573
   66         8     22     3    1   418
   66         8     23     1    0   562
   66         8     24     7    1   851
   66         8     25     5    1   523
   66         8     26     1    0   470
   66         8     27     4    1   943
   66         8     28     1    0   444
   66         8     29     7    1   686
   66         8     30     4    1   500
   66         8     31     6    1   691
   66         8     32     8    1   603
   66         9      1     5    1   511
   66         9      2     8    1   640
   66         9      3     6    1   433
   66         9      4     7    0   419
   66         9      5     8    1   547
   66         9      6     6    1   634
   66         9      7     5    1   562
   66         9      8     5    1   470
   66         9      9     7    1   599
   66         9     10     3    1   562
   66         9     11     6    1   568
   66         9     12     4    1   505
   66         9     13     5    1   450
   66         9     14     1    1   377
   66         9     15     7    1   470
   66         9     16     1    1   392
   66         9     17     1    1   383
   66         9     18     7    1   372
   66         9     19     8    1   367
   66         9     20     6    1   527
   66         9     21     2    0   537
   66         9     22     7    1   455
   66         9     23     3    1   567
   66         9     24     5    1   346
   66         9     25     4    1   619
   66         9     26     6    1   347
   66         9     27     3    0   682
   66         9     28     2    1   598
   66         9     29     2    1   341
   66         9     30     8    0   352
   66         9     31     6    1   749
   66         9     32     8    1   372
   66         9     33     7    0   676
   66         9     34     2    1   548
   66         9     35     1    1   553
   66         9     36     6    1   566
   66         9     37     1    1   521
   66         9     38     4    1   537
   66         9     39     1    1   697
   66         9     40     6    1  1408
   66         9     41     8    1   769
   66         9     42     2    1   326
   66         9     43     4    1   497
   66         9     44     1    1   460
   66         9     45     3    1   450
   66         9     46     3    1   378
   66         9     47     5    1   362
   66         9     48     7    1   419
   66         9     49     4    1   439
   66         9     50     7    1   583
   66         9     51     1    1   507
   66         9     52     2    0   481
   66         9     53     4    1   449
   66         9     54     8    1   460
   66         9     55     2    1   552
   66         9     56     3    1   469
   66         9     57     5    0   511
   66         9     58     2    1   944
   66         9     59     3    1   490
   66         9     60     8    1   475
   66         9     61     4    1   500
   66         9     62     5    0   522
   66         9     63     3    1   434
   66         9     64     4    1   439
   66        10      1     7    1   449
   66        10      2     3    1   388
   66        10      3     8    1   486
   66        10      4     1    1   630
   66        10      5     8    1   393
   66        10      6     2    1   619
   66        10      7     4    1   429
   66        10      8     5    1   511
   66        10      9     6    1   511
   66        10     10     7    1   388
   66        10     11     3    1   557
   66        10     12     5    1   372
   66        10     13     7    1   454
   66        10     14     4    1   512
   66        10     15     4    1   413
   66        10     16     1    1   387
   66        10     17     4    1   516
   66        10     18     6    1   521
   66        10     19     6    1   403
   66        10     20     2    1   429
   66        10     21     5    1   491
   66        10     22     8    0   372
   66        10     23     4    1   511
   66        10     24     7    1   989
   66        10     25     6    1   475
   66        10     26     1    1   388
   66        10     27     5    1   500
   66        10     28     8    1   598
   66        10     29     6    1   552
   66        10     30     3    1   444
   66        10     31     4    1   557
   66        10     32     2    1   346
   66        10     33     8    1   496
   66        10     34     2    1   295
   66        10     35     6    1   331
   66        10     36     6    1   316
   66        10     37     6    1   321
   66        10     38     4    0   465
   66        10     39     5    1   516
   66        10     40     3    1   403
   66        10     41     2    1   367
   66        10     42     2    1   434
   66        10     43     5    1   342
   66        10     44     8    1   444
   66        10     45     8    1   341
   66        10     46     7    1   490
   66        10     47     8    1   351
   66        10     48     7    1   367
   66        10     49     3    1   399
   66        10     50     1    1   681
   66        10     51     4    1   475
   66        10     52     1    1   629
   66        10     53     2    1   634
   66        10     54     2    1   310
   66        10     55     1    1   444
   66        10     56     1    1   501
   66        10     57     1    1   300
   66        10     58     7    1   429
   66        10     59     3    1   588
   66        10     60     7    1   521
   66        10     61     5    0   366
   66        10     62     5    0   521
   66        10     63     3    1   490
   66        10     64     3    1   377
   66        11      1     5    1   619
   66        11      2     2    1   542
   66        11      3     2    1   321
   66        11      4     3    1   470
   66        11      5     8    1   439
   66        11      6     1    1   563
   66        11      7     6    1   568
   66        11      8     1    1   531
   66        11      9     5    1   511
   66        11     10     8    1   480
   66        11     11     1    0   640
   66        11     12     6    1   656
   66        11     13     8    1   408
   66        11     14     6    1   501
   66        11     15     4    1   516
   66        11     16     3    1   768
   66        11     17     8    1   604
   66        11     18     5    1   495
   66        11     19     5    1   326
   66        11     20     3    1   418
   66        11     21     5    1   382
   66        11     22     4    1   521
   66        11     23     4    1   382
   66        11     24     2    1   536
   66        11     25     2    1   306
   66        11     26     7    1   598
   66        11     27     7    1   328
   66        11     28     2    0   593
   66        11     29     4    1   475
   66        11     30     5    1  1010
   66        11     31     8    0   398
   66        11     32     4    1   506
   66        11     33     3    1   495
   66        11     34     6    1   352
   66        11     35     3    1   521
   66        11     36     7    0   403
   66        11     37     7    1   650
   66        11     38     6    1   460
   66        11     39     2    1   598
   66        11     40     5    1   856
   66        11     41     1    1   511
   66        11     42     2    1   397
   66        11     43     6    1   480
   66        11     44     1    1   552
   66        11     45     7    1   485
   66        11     46     7    1   393
