% SubNumber, Age, Gender 	    63    19     2
% Contents of columns:
% Sub  BlockNum  Trial  Trty  Cor    RT
   63         1      1     1    1  1484
   63         1      2     5    1  1000
   63         1      3     3    1  1648
   63         1      4     7    1   794
   63         1      5     1    1   475
   63         1      6     2    1   444
   63         1      7     7    0   701
   63         1      8     8    1   933
   63         1      9     7    1   474
   63         1     10     3    1   666
   63         1     11     4    0   434
   63         1     12     8    1   805
   63         1     13     6    1   553
   63         1     14     2    1   578
   63         1     15     5    1   377
   63         1     16     8    1   666
   63         1     17     6    1   588
   63         1     18     2    1   465
   63         1     19     8    1   686
   63         1     20     6    1   908
   63         1     21     4    0   356
   63         1     22     3    1   794
   63         1     23     4    1   475
   63         1     24     7    1   501
   63         1     25     2    1   722
   63         1     26     1    1   475
   63         1     27     5    1   516
   63         1     28     1    1   506
   63         1     29     4    1   655
   63         1     30     3    1   558
   63         1     31     5    1   300
   63         1     32     6    1   320
   63         2      1     7    1   836
   63         2      2     1    1   372
   63         2      3     8    1   480
   63         2      4     1    1   352
   63         2      5     6    1   382
   63         2      6     1    1   393
   63         2      7     4    0   403
   63         2      8     7    1   573
   63         2      9     5    1   465
   63         2     10     7    1   661
   63         2     11     1    1   485
   63         2     12     3    1   548
   63         2     13     7    1   450
   63         2     14     8    1   650
   63         2     15     1    1   378
   63         2     16     8    1   475
   63         2     17     8    1   460
   63         2     18     3    1   547
   63         2     19     2    0   434
   63         2     20     8    1   650
   63         2     21     2    1   583
   63         2     22     4    1   743
   63         2     23     2    1   398
   63         2     24     4    1   557
   63         2     25     5    1   599
   63         2     26     6    1   393
   63         2     27     4    1   480
   63         2     28     2    1   377
   63         2     29     8    1   511
   63         2     30     6    1   475
   63         2     31     7    1   599
   63         2     32     5    1   464
   63         2     33     2    1   511
   63         2     34     5    1   367
   63         2     35     2    1   460
   63         2     36     2    1   531
   63         2     37     6    1   686
   63         2     38     4    1   799
   63         2     39     6    1   403
   63         2     40     6    1   294
   63         2     41     8    1   501
   63         2     42     1    1   378
   63         2     43     3    0   336
   63         2     44     7    1   516
   63         2     45     3    1   552
   63         2     46     5    1   367
   63         2     47     5    1   362
   63         2     48     7    1   429
   63         2     49     2    1   991
   63         2     50     1    1   382
   63         2     51     3    1   506
   63         2     52     3    0   496
   63         2     53     4    1   765
   63         2     54     3    1   475
   63         2     55     6    1   388
   63         2     56     4    1   469
   63         2     57     8    1   434
   63         2     58     1    1   789
   63         2     59     6    1   418
   63         2     60     3    1   610
   63         2     61     4    1   527
   63         2     62     5    1   414
   63         2     63     5    1   543
   63         2     64     7    1   460
   63         3      1     1    1   787
   63         3      2     4    1   481
   63         3      3     8    1   609
